woman,3.4154923793,384156
enough,3.4176343278,382266
words,3.4198417004,380328
mother,3.4272468579,373898
soon,3.4273455993,373813
full,3.4296544054,371831
end,3.4320788973,369761
gave,3.4329312657,369036
room,3.4356665883,366719
almost,3.4357720012,366630
small,3.4437336919,359970
thou,3.4487244868,355857
cannot,3.4489698603,355656
water,3.4492007111,355467
want,3.4507367299,354212
however,3.4524369571,352828
light,3.4543799578,351253
quite,3.4552661345,350537
brought,3.4560250287,349925
nor,3.456315545,349691
word,3.4563229967,349685
whose,3.4629658616,344377
given,3.4632635837,344141
door,3.4654814649,342388
best,3.4716696074,337544
turned,3.4718974008,337367
taken,3.474683034,335210
does,3.4758220537,334332
use,3.4764056929,333883
morning,3.4807405036,330567
myself,3.4832927932,328630
Gutenberg,3.4836973698,328324
felt,3.4860848919,326524
until,3.4862618251,326391
since,3.4862684781,326386
power,3.4864587979,326243
themselves,3.4870582512,325793
used,3.4870609173,325791
rather,3.4871569072,325719
began,3.4876798916,325327
present,3.4887732539,324509
voice,3.4909723063,322870
others,3.4912777528,322643
white,3.4915174163,322465
works,3.4962950952,318937
less,3.4996400076,316490
money,3.5008052135,315642
next,3.504224008,313167
poor,3.5060988183,311818
death,3.5091247081,309653
stood,3.5114140338,308025
form,3.5121464059,307506
within,3.5125462743,307223
together,3.5157642416,304955
till,3.5160776625,304735
thy,3.5164283921,304489
large,3.5167836876,304240
matter,3.5210253729,301283
kind,3.5255054686,298191
often,3.5275390299,296798
certain,3.5275434197,296795
herself,3.5288315522,295916
year,3.529082589,295745
friend,3.5300631688,295078
half,3.5318506585,293866
order,3.5322543033,293593
round,3.5351424865,291647
true,3.5354702144,291427
anything,3.5376064948,289997
keep,3.5386455616,289304
sent,3.5407945404,287876
wife,3.5423496878,286847
means,3.5460230718,284431
believe,3.5498047968,281965
passed,3.5530529629,279864
feet,3.5531196957,279821
near,3.5545982033,278870
public,3.5553853713,278365
state,3.5564522713,277682
son,3.5571644747,277227
hundred,3.5591066535,275990
children,3.5597097562,275607
thus,3.5603184315,275221
hope,3.5626522181,273746
alone,3.5651549597,272173
above,3.5660046794,271641
case,3.5660894231,271588
dear,3.567827914,270503
thee,3.5695798401,269414
says,3.5709877809,268542
person,3.5720629522,267878
high,3.5740225819,266672
read,3.5752049043,265947
city,3.576528024,265138
already,3.5773084099,264662
received,3.5774003123,264606
fact,3.5790331764,263613
gone,3.579079308,263585
girl,3.5805581127,262689
known,3.5807532418,262571
hear,3.5837823452,260746
times,3.5840322547,260596
least,3.5851669852,259916
perhaps,3.5884408975,257964
sure,3.5919551717,255885
indeed,3.5921181359,255789
english,3.5930989091,255212
open,3.594528988,254373
body,3.5972023156,252812
itself,3.5998904725,251252
along,3.6000443382,251163
land,3.6026214626,249677
return,3.6028720121,249533
leave,3.6036907851,249063
air,3.6064598927,247480
nature,3.6076689225,246792
answered,3.6086219972,246251
either,3.6118525993,244426
law,3.6123646175,244138
help,3.6131230863,243712
lay,3.6148353943,242753
point,3.6157021533,242269
child,3.6158240681,242201
letter,3.6158653117,242178
four,3.6160070044,242099
wish,3.6178190017,241091
fire,3.6186105247,240652
cried,3.6192823767,240280
2,3.6197724726,240009
women,3.6202685567,239735
speak,3.6215566731,239025
number,3.6220857253,238734
therefore,3.622910586,238281
hour,3.6234887395,237964
friends,3.624371131,237481
held,3.6280570388,235474
free,3.6289099616,235012
war,3.6297756725,234544
during,3.6312093654,233771
several,3.6322770409,233197
business,3.6323496787,233158
whether,3.6367284448,230819
er,3.6373573333,230485
manner,3.6375156403,230401
second,3.637706062,230300
reason,3.638385473,229940
replied,3.6384364717,229913
united,3.6440640721,226953
call,3.6446231995,226661
general,3.6451408422,226391
why,3.6454766812,226216
behind,3.6454977997,226205
became,3.6481824426,224811
john,3.6486501949,224569
become,3.6491203876,224326
dead,3.6496569901,224049
earth,3.6525802072,222546
boy,3.6530312337,222315
lost,3.6531308741,222264
forth,3.6563984293,220598
thousand,3.6603041505,218623
looking,3.660528683,218510
I'll,3.6608030483,218372
family,3.6613084932,218118
soul,3.6618623717,217840
feel,3.6648310564,216356
coming,3.6672647053,215147
England,3.6688987998,214339
spirit,3.6710967045,213257
question,3.6713676414,213124
care,3.6714736176,213072
truth,3.6725429772,212548
ground,3.6729088779,212369
really,3.6742340122,211722
rest,3.6743447937,211668
mean,3.6751025583,211299
different,3.6756290482,211043
making,3.6777165999,210031
possible,3.6796480442,209099
fell,3.6812190021,208344
towards,3.6815213608,208199
human,3.6845754881,206740
kept,3.6854397267,206329
short,3.6856776415,206216
town,3.6867931561,205687
following,3.6868649508,205653
need,3.6883414823,204955
cause,3.688911861,204686
met,3.690463514,203956
evening,3.6917964034,203331
returned,3.6945604906,202041
five,3.6958305724,201451
strong,3.6984838667,200224
able,3.6986552549,200145
french,3.6990373252,199969
live,3.6997132836,199658
lady,3.6999265047,199560
subject,3.7020951127,198566
sn,3.7022438647,198498
answer,3.7029248363,198187
sea,3.7030541444,198128
fear,3.7061095404,196739
understand,3.7061316156,196729
hard,3.7067302815,196458
terms,3.7071859087,196252
doubt,3.7079544796,195905
around,3.7086444717,195594
ask,3.7101814761,194903
arms,3.7115316698,194298
turn,3.7149763233,192763
sense,3.7150754665,192719
seems,3.7161810933,192229
black,3.718348601,191272
bring,3.7186302417,191148
followed,3.7197654684,190649
beautiful,3.7199614188,190563
close,3.7237335574,188915
dark,3.7251127792,188316
hold,3.7290674144,186609
character,3.7298897281,186256
sort,3.7301696232,186136
sight,3.7308093939,185862
ten,3.7337400727,184612
show,3.7350075502,184074
party,3.7350217065,184068
fine,3.7374089144,183059
ye,3.7376011237,182978
ready,3.7402484851,181866
story,3.742326224,180998
common,3.7445803423,180061
book,3.7453576789,179739
electronic,3.7463058835,179347
talk,3.7474454974,178877
account,3.7484785803,178452
mark,3.7493750981,178084
interest,3.7495775578,178001
written,3.7514578616,177232
can't,3.7526946374,176728
bed,3.7529232373,176635
necessary,3.7533364974,176467
age,3.7536984228,176320
else,3.7545366866,175980
force,3.7556733898,175520
idea,3.7588621077,174236
longer,3.7597079102,173897
art,3.7605903968,173544
spoke,3.7619790013,172990
across,3.7622024949,172901
brother,3.7627277808,172692
early,3.763293991,172467
ought,3.7652549994,171690
sometimes,3.7662198201,171309
line,3.7671004102,170962
saying,3.7677792001,170695
table,3.7691859139,170143
appeared,3.7697733921,169913
river,3.7709071705,169470
continued,3.7718923497,169086
eye,3.7728257112,168723
ety,3.772851452,168713
sun,3.7732841266,168545
information,3.7736372818,168408
later,3.7751951029,167805
everything,3.778859728,166395
reached,3.7805412226,165752
suddenly,3.7829110485,164850
past,3.7832984903,164703
hours,3.7842937162,164326
strange,3.7847670502,164147
deep,3.7856357295,163819
change,3.7864450573,163514
miles,3.7869047899,163341
feeling,3.7870962672,163269
act,3.7881615701,162869
meet,3.7886471493,162687
paid,3.7888661043,162605
further,3.7896065621,162328
purpose,3.7900723337,162154
happy,3.7902035895,162105
added,3.7906110028,161953
seem,3.791695726,161549
taking,3.7941841556,160626
blood,3.7943978053,160547
rose,3.7964395318,159794
south,3.7995216011,158664
beyond,3.8003983883,158344
cold,3.8007825401,158204
neither,3.8007935208,158200
forward,3.8025044159,157578
view,3.8029511274,157416
I've,3.8035198323,157210
position,3.8045127081,156851
sound,3.8051638722,156616
none,3.807591464,155743
entered,3.808325468,155480
clear,3.8083478146,155472
road,3.8097327503,154977
late,3.8101168374,154840
stand,3.810841078,154582
suppose,3.8109703332,154536
la,3.8111924047,154457
daughter,3.8117438576,154261
real,3.8123495742,154046
nearly,3.8124764591,154001
mine,3.8126485178,153940
laws,3.81295896,153830
knowledge,3.8129617832,153829
comes,3.8144606781,153299
toward,3.8153880552,152972
bad,3.8156237599,152889
cut,3.816374323,152625
copy,3.8191260848,151661
husband,3.8191547216,151651
six,3.8192664232,151612
France,3.8207125425,151108
living,3.820899397,151043
peace,3.8230959237,150281
didn't,3.8247898042,149696
low,3.8248072116,149690
north,3.8250655034,149601
remember,3.8258732934,149323
effect,3.8274116623,148795
natural,3.8275605437,148744
pretty,3.8293745686,148124
fall,3.8313994059,147435
fair,3.8314995701,147401
service,3.8342127742,146483
below,3.8354627569,146062
except,3.8356530935,145998
American,3.8357066407,145980
hair,3.8361918411,145817
London,3.8368207286,145606
laid,3.8371668561,145490
pass,3.8373161341,145440
led,3.8374565022,145393
copyright,3.8379017992,145244
doing,3.8382398123,145131
army,3.838856691,144925
run,3.8395674865,144688
horse,3.8415711624,144022
future,3.8426701841,143658
opened,3.8427699583,143625
pleasure,3.8448097642,142952
history,3.8478401279,141958
west,3.8484922517,141745
pay,3.8489459479,141597
red,3.8489735528,141588
an',3.8491913866,141517
4,3.8495444478,141402
hath,3.8500238423,141246
note,3.8517707275,140679
although,3.8518077746,140667
wanted,3.8519899691,140608
gold,3.8547693988,139711
makes,3.8564637347,139167
desire,3.8592155043,138288
play,3.8594039757,138228
master,3.8605270744,137871
office,3.8644984346,136616
tried,3.8648450777,136507
front,3.8655168896,136296
big,3.8656156794,136265
Dr,3.8667741519,135902
lived,3.868022245,135512
certainly,3.8684262429,135386
wind,3.8706678715,134689
receive,3.8717590967,134351
attention,3.8720630614,134257
government,3.8726521944,134075
unto,3.8727396613,134048
church,3.8729762343,133975
strength,3.8736380264,133771
length,3.8739887956,133663
company,3.875629475,133159
placed,3.8758741544,133084
paper,3.8760504089,133030
letters,3.8768509821,132785
probably,3.8775875046,132560
glad,3.878216993,132368
important,3.8784795494,132288
especially,3.8791103331,132096
greater,3.8792780391,132045
yourself,3.8806880125,131617
fellow,3.8810445246,131509
bear,3.8814145503,131397
opinion,3.8831698533,130867
window,3.8840900781,130590
ran,3.8847423919,130394
faith,3.8848023475,130376
ago,3.8852055968,130255
agreement,3.8857928104,130079
charge,3.8872475778,129644
beauty,3.8874419155,129586
lips,3.8878207889,129473
remained,3.8880288068,129411
arm,3.8883175129,129325
latter,3.8884820941,129276
duty,3.8890199368,129116
send,3.8891578663,129075
distance,3.8892554526,129046
silence,3.8925627638,128067
foot,3.8926102425,128053
wild,3.8936118955,127758
object,3.8945988283,127468
die,3.895625574,127167
save,3.8968841715,126799
gentleman,3.8970143434,126761
trees,3.8980159154,126469
green,3.898146427,126431
trouble,3.9000260158,125885
smile,3.9002158034,125830
books,3.9002261578,125827
wrong,3.9016990002,125401
various,3.9030691414,125006
sleep,3.9043634665,124634
persons,3.9072092003,123820
blockquote,3.9076197679,123703
happened,3.9086109391,123421
particular,3.9094527489,123182
drew,3.9127013999,122264
minutes,3.9129252401,122201
hardly,3.9150557107,121603
walked,3.9162251356,121276
chief,3.9164722979,121207
chance,3.9181524254,120739
according,3.9181740078,120733
beginning,3.9181740078,120733
action,3.9186887048,120590
deal,3.9201461187,120186
loved,3.9202942982,120145
visit,3.9215178065,119807
thinking,3.921713598,119753
follow,3.9220292256,119666
standing,3.9226102897,119506
knows,3.9240371909,119114
try,3.9249642741,118860
presence,3.9249935057,118852
heavy,3.9250592841,118834
sweet,3.9253517531,118754
plain,3.9257652014,118641
donations,3.9264906011,118443
immediately,3.9271988506,118250
wrote,3.9276986226,118114
mouth,3.9284088465,117921
rich,3.930383696,117386
thoughts,3.9308834446,117251
months,3.9319812067,116955
u,3.9333535978,116586
won't,3.9334206548,116568
afraid,3.9337971111,116467
Paris,3.9340395576,116402
single,3.9358978287,115905
joy,3.9363364476,115788
enemy,3.9385663709,115195
broken,3.9392795014,115006
unless,3.9428894789,114054
states,3.9438310247,113807
ship,3.9445796175,113611
condition,3.9447057831,113578
carry,3.9455516562,113357
exclaimed,3.9455708127,113352
including,3.9465220357,113104
filled,3.9472252845,112921
seeing,3.947348374,112889
influence,3.9490521267,112447
write,3.9496782567,112285
boys,3.9502975439,112125
appear,3.9506113951,112044
outside,3.9513678944,111849
secret,3.9520323723,111678
parts,3.9539186465,111194
please,3.9542312179,111114
appearance,3.954943157,110932
evil,3.9550762861,110898
march,3.9553269928,110834
george,3.9556405798,110754
whatever,3.9564451816,110549
slowly,3.956637722,110500
tears,3.9573693676,110314
horses,3.9574402374,110296
places,3.9576214019,110250
caught,3.9583665456,110061
stay,3.9590260186,109894
instead,3.9592513376,109837
struck,3.9599438378,109662
blue,3.9607882021,109449
York,3.9611653265,109354
